product_name,food_groups_en,nova_group,nutriscore_grade,nutriscore_score,ecoscore_grade,ecoscore_score,ingredients_text
Feinste Waffelblättchen in edler Vollmilchschokolade,"Sugary snacks,Biscuits and cakes",4,e,27,b,70.0,"73,0 % Vollmilchschokolade (Zucker, Kakaobutter, Vollmilchpulver, Kakaomasse, Magermilchpulver, Emulgator: Sojalecithin, Vanilleextrakt), 27 % Weizenmehl, Weizenstärke, Emulgator: Sojalecithin; Speisesalz, Backtriebmittel: Natriumbicarbonat)."
Mozzarela fat free,"Milk and dairy products,Cheese",4,c,7,c,55.0,"04 iron potassium omg vitamin a 60mcg calories per gram: fat 9 0% 0% 0% *the % daily value tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice. keep refrigerated 6% carbohydrate 4 ingredients: nonfat mozzarella cheese (pasteurized skim milk, cheese culture, salt, yeast&quot;, artificial color enzymes, vitamin a palmitate), modified cornstarch added to prevent caking, natamycin (a natural mold inhibitor) *ingredient not in regular mozzarella cheese contains: milk. distribute by kraft heinz ods company, chicago, il 60601 contains og uf lactose per serving kraft heinz • protein 4 ● kraftheinzcompany.com 1-800-634-1984, have package available"
Palets de tomate de provence surgelés,"Fruits and vegetables,Vegetables",1,a,-4,a,77.0,100% Tomate
Simply Apple,"Beverages,Unsweetened beverages",1,c,6,c,50.0,100% apple juice
Simply Orange High Pulp,"Beverages,Unsweetened beverages",1,c,5,d,43.0,100% orange juice
100% apple juice,"Beverages,Unsweetened beverages",1,e,13,c,50.0,100% apple juice
Simply Orange Pulp Free,"Beverages,Unsweetened beverages",1,c,5,c,56.0,100% orange juice
Classic Roast (Medium) Coffee,,1,b,-2,f,13.0,100% PURE COFFEE
Classic Roast,,1,b,-2,f,-5.0,100% PURE COFFEE
Folgers classic roast,"Beverages,Unsweetened beverages",1,b,-2,f,-13.0,100% pure coffee
100% Colombian Medium Roasted Coffee Ground imp,,1,b,-2,f,-5.0,100% ARABICA COFFEE
Xtreme wellness tortilla wraps,"Cereals and potatoes,Bread",4,b,1,b,73.0,"100% whole wheat flour, water, cellulose fiber, wheat protein, modified food starch, contains 2% or less of the following: extra virgin olive oil, ground flax seed, salt, aluminum-free leavening (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), preservatives (calcium propionate, sorbic acid), dough conditioner (lecithin, fumaric acid, gum blend, mono - and diglycerides, sodium metabisulphite),"
The Ultimate Fish Stick,"Fish‚ Meat‚ Eggs,Fish and seafood",4,a,0,f,1.0,"65% fish (alaska pollock), 35% batter & breading (whole wheat flour, vegetable oil (soybean and/or canola), enriched wheat flour (wheat flour, niacin, iron, thiamine mononitrated, riboflavin, folic acid), water, contains 2% or less of: whole grain yellow corn meal, ranch seasoning (maltodextrin, salt, dehydrated onion, dehydrated garlic, disodium inosinate, disodium guanylate, natrual flavor (maltodextrin), modified food starch, buttermilk, natural flavor), corn starch, salt, vital wheat gluten, rice starch, yeast, leavening (cream of tartar, baking soda), tapioca starch, enriched and unrefined malted barley flour (malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid))."
Calorie healthy pop butter,,4,c,8,b,73.0,"100% whole grain non-gmo pop corn, partially hydrogenated soybean oil, salt, natural flavors, annatto for coloring, soy lecithin"
Microwave PopCorn - Butter Flavour,,4,e,22,a,77.0,"100% whole grain non-gmo pop corn, corn oil, palm oil, salt, natural flavor, butter (cream, salt), dry buttermilk, tbhq and ascorbic acid to preserve freshness, annatto for color,"
Ruffles Cheddar & Sour Cream,"Salty snacks,Appetizers",4,e,20,b,68.0,"180mg 8% 460mg 20% 6% 36g sodium 14% 15g 5% 3g total carb, 12% dietary fiber total sugars protein 1g 1g 2g 3g 5g 0% 0% omcg 2% omcg 10mg 0,5mg vitamin d 0% 40mg 2% 1,4mg 340mg 6% 850mg 15% 15% calcium 6% iron potassium vitamin c 6% not a significant source of added sugars, the % daily value (dv) tells you how much a nutrient in a serving of 0od contributes to a daily diet, 2,000 calories a day is used for oneral nutrition advice, ingked nts: potatoes, vegetable oil (sunflower, corn, and/or canola o), cheddar , sour cream seasoning (maltodextrin [made fron conn, salt, whey, cheddar cheese [milk, cheese cultures, salt, enzymes], onion powder, corn oil, monosodium glutamate, naturial and artificial flavors, buttermilk, canola oil, sour cream [cultured eam, skim milk], lactose, butter [cream, salt], sodium caseinate, yeast extract, citric acid, skim milk, blue cheese [milk, cheese cultures, salt, enzymes], lactic acid, garlic powder, artificial color yellow 6, yellow 5], whey protein isolate, sunflower oil, and milk protein concentrate) contains milk ingredients, frito-lay, inc, plano, tx 75024-4099 o 2015 frito-lay north america, inc,"
Honey Roasted Sunflower Kernels,,4,c,3,d,43.0,"6 cups Butter Lettuce (or 1 bag), 2 scallions (white & light green parts only) thinly sliced, 3-4 radishes sliced, 1 large avocado (sliced), 1½ cup Salad Pizazz!® Honey Roasted Sunflower Kernels, Dressing:, 1/4 cup apple cider vinegar, 1/4 cup olive oil, 1 tablespoon pure maple syrup, 1/4 teaspoon Dijon mustard, 1 clove garlic, Sunflower Kernels, Honey Coating (Cane Sugar, Maltodextrin, Honey, Corn Flour, Silicon Dioxide, Xanthan Gum), Sunflower Oil, Salt."
Digestives,"Sugary snacks,Biscuits and cakes",3,e,22,b,64.0,"57%Wasser, Weizenmehl. Rapsöl, Hefe, Zucker, Salz, Säureregulator:  Natriumacetate"
,"Salty snacks,Appetizers",4,c,8,b,67.0,"91% granen (tarwebloem, havervlokken, tarwegluten, gerstemeel, volkoren havermeel, gerstemoutmeel, gedroogd roggedesem, roggebloem, tarwemoutmeel, gedextrineerd tarwemeel, gerstemoutextract, tarwezemelen, volkoren tarwemeel, volkoren roggemeel, tarwevlokken), raapzaadolie, 5% zaden (lijnzaad, sesamzaad), gist, suiker, 3% zonnebloempitten, zout, pompoenpitten, meelverbeteraar: ascorbinezuur; chicoreiwortelvezel. Kan sporen van ei, lupine mosterd bevatten. Tegen warmte, vochtigheid en zonlicht beschermen."
Tasty Banana Paradise foot in a bottle,"Milk and dairy products,Milk and yogurt",4,e,11,d,37.0,"47% Milcheiweißerzeugnis, 30 % Magermilch, Wasser pflanzliche Öle (Raps, Sonnenblume), Kokosnussextrakt, Guarkerballaststoff, Maltodextrin, Sahne, Stärke, Bananenpulver, Emulgator Lecithine, natürliches Aroma, Vitamine (Vitamin A, Vitamin D, Vitamin  K, Vitamin C, Thiamin, Niacin, Vitamin B6, Folsäure), Mineralstoffe (Magnesium, Eisen, Kupfer, Mangan, Chrom), Speisesalz, Sübungsmittel: Sucralose, Acesulfam K; Stabilisator: Gellan, Carrageen; Laktase Laktosegehalt &lt;0,1 g/100 g"
,"Sugary snacks,Sweets",4,d,16,b,70.0,"20000 Chez Bechet Abricot Confiture extra 350G FABRICATION TRADITION Valeurs nu ny energie 983 grasse 0,2 Glucides 571 grédients: abricot 50%, sucre jus de chron, genant: pectine de Fa acktant: acide ascorbique Fruits Franças-Présence éventuelle de noyaux Protéines p pere c 50g de fruits pour 100g-Toneur totale en sucre 55g pour REMULON DRASSE TA04758"
Yaourt au lait entier BIO,"Milk and dairy products,Milk and yogurt",3,b,1,a-plus,107.0,"97% lait entier*, poudre de lait écrémé*, ferments lactiques (lait). *Ingrédients issus de l'agriculture biologique."
Gnocchi à poêler,"Cereals and potatoes,Potatoes",3,c,5,a-plus,93.0,"55,6% flocons de pommes de terre réhydratés (pommes de terre (Origine : France), épice: curcuma), semoule de blé dur (Origine : France), huile de colza, farine de blé, sel. Traces éventuelles de lait, d'œufs, de poissons, de mollusques, de crustacés, de céleri, de moutarde, de soja et de fruits à coque."
tortilla wraps classic,"Cereals and potatoes,Bread",4,c,4,b,73.0,"69% pšenično brašno, voda, repičino ulje, stabilizator. glicerol; pšenični gluten, regulator kiselosti: jabučna kiselina; kuhinjska sol, emulgator: mono - i digliceridi masnih kiselina; dekstroza, tvar za rahljenje: natrijevi karbonati; konzervansi: kalcijev propionat, kalijev sorbat; tvar za tretiranje brašna: L-cistein. Čuvati na suhom mjestu."
100% pure organic raw & unfiltered honey,"Sugary snacks,Sweets",2,e,19,b,72.0,100% pure organic honey
100% Pure Raw & Unfiltered Organic Honey,"Sugary snacks,Sweets",2,e,19,b,72.0,100% pure organic honey
Muesli croustillant aux 3 chocolats,"Cereals and potatoes,Breakfast cereals",4,d,15,b,72.0,"46% flocons d'avoine complète, sucre, 11% grains de blé, 7% petits rouleaux de chocolat au lait et chocolat blanc (sucre, lait en poudre entier, beurre de cacao¹, pâte de cacao¹, lactosérum doux en poudre (lait), émulsifiant : lécithines (tournesol)), huile de palme, 4% petits rouleaux de chocolat noir (sucre, pâte de cacao¹, beurre de cacao¹, émulsifiant : lécithines (tournesol)), 2% farine de riz, noisettes, cacao en poudre¹, 1% maïs, sel, 0,1% gluten de blé, 0,1% farine de malt (orge, blé), 0,08% extrait de malt d'orge. ¹Certifié Rainforest Alliance. Traces éventuelles d'autres fruits à coque, d'arachides, de soja et de graines de sésame."
extra virgin olive oil,"Fats and sauces,Fats",2,b,0,c,47.0,100% extra virgin olive oil.
Roasted Hazelnut Oil imo,"Fats and sauces,Fats",2,c,4,f,-1.0,100% pure hazelnut oil.
100% pure juice,"Beverages,Unsweetened beverages",1,d,9,c,50.0,100% pure apple juice.
Martinelli's Gold Medal,"Beverages,Unsweetened beverages",1,d,9,c,55.0,100% apple juice
Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,c,56.0,100% organic extra virgin olive oil.
Twin snakes sweet sour gummy candy,"Sugary snacks,Sweets",4,d,15,b,69.0,"11g includes 11g added sugars 22% protein 2g not a significant source of saturated fat, trans fat, cholesterol, dietay fiber, vitamin d, calcium, iron and potassium *the % daily value tells you how muci a nutrient in a serving of food contributes to a daily die 2,00 calories a day is used for general nutrition advice, ingredients: glucose syrup (from wheat or corn), sugar, gelatin, dextrose (from wheat or corn), contains less than 2% of: citric acid, tartaric acid, malic acid, artificial and natural flavors, palm palm kernel oil, carnauba wax, white beeswax, yellow swax, yellow 5, red 40, blue 1, manufactured for haribo of america, inc, rosemont, il 60018 made in turkey a serving is a little handful, in this case it's approx, 3 pieces"
Quick oats,"Cereals and potatoes,Breakfast cereals",1,a,-6,e,25.0,100% whole grain rolled oats.
Old fashioned oats,"Cereals and potatoes,Breakfast cereals",1,a,-10,b,66.0,100% whole grain rolled oats.
Envia Soja Fruits Rouges,"Sugary snacks,Sweets",4,c,3,a,76.0,"75% jus de _soja_ (eau, 6,4% graines de _soja_ sans OGM), sucre, eau, 7,9% fruits rouges (2,2% fraises, 2,4% jus de sureau concentré, 1,1% myrtilles, 1,1% mûres, 0,55% concentré de fraise, 0,55% purée de myrtilles concentrée), amidon de mais, citrate de tricalcium, épaississant: pectines; arômes naturels, jus de citron concentré, ferments lactiques"
Die Streichzarte aus Butter und Rapsöl ungesalzen,"Fats and sauces,Fats",2,d,18,e,20.0,"73% mildgesäuerte Butter*, 15% Rapsöl, Buttermilch. *Original Weihenstephan Butter (Deutsche Markenbutter)"
Orange juice,"Beverages,Unsweetened beverages",4,c,5,c,53.0,"100% pure orange juice from concentrate (filtered water and concentrated orange juice) and natural flavors*,"
Pure Premium Orange Juice Calcium And Vitamin D No Pulp,"Beverages,Unsweetened beverages",1,c,5,c,47.0,"100% orange juice, calcium hydroxide, citric acid, malic acid and vitamin d3."
Orange Juice No Pulp,"Beverages,Unsweetened beverages",1,c,5,c,53.0,100% Pure Orange juice
"Orange Juice, No Pulp, Vitamin C + Zinc","Beverages,Unsweetened beverages",1,c,5,d,43.0,"100% Orange juice, ascorbic acidt (vitamin C), zinc oxidet."
"Pure premium juice, orange","Beverages,Unsweetened beverages",1,c,5,d,43.0,"100% pure pasteurised orange juice, malic acid, calcium hydroxide*, citric acid*, and vitamin d3*."
Pure Premium Low Acid No Pulp 100% Pure Orange,"Beverages,Unsweetened beverages",1,c,6,d,43.0,"100% pure pasteurized orange juice, acid reduced orange juice, calcium citrate*, ascorbic acid (vitamin c)*, beta-carotene*."
Hummus,"Fats and sauces,Dressings and sauces",3,d,11,a-plus,106.0,"38 % Kichererbsen gekocht, Trinkwasser, 23% Sonnenblumenöl, Sesam, 3 % Olivenöl, Meersalz, Kreuzkümmel, Knoblauch"
Crème dessert chocolat,"Milk and dairy products,Dairy desserts",4,a,-3,a,83.0,"80% lait écrémé pasteurisé, protéines de lait, crème pasteurisée (lait), 3,1% poudre de cacao dégraissé, poudre de cacao, amidon modifié de maïs, 1,6% (chocolat avec édulcorant (édulcorant: maltitol, pâte de cacao', beurre de cacao', émulsifiant: lécithine de soja, arôme naturel de vanille), chocolat au lait avec édulcorant (édulcorant: maltitol; beurre de cacao', pâte de cacao', lait en poudre, lait écrémé en poudre, émulsifiant: lécithines (soja); arôme naturel de vanille)), gélatine, correcteur d'acidité: citrates de sodium; édulcorants: sucralose, acésulfame K."
1-Minute Oats (Canada),"Cereals and potatoes,Breakfast cereals",1,a,-8,b,71.0,100% ROLLED OATS
Quick Oats (Canada),"Cereals and potatoes,Breakfast cereals",1,a,-8,a,82.0,100% rolled oats
Southwestern Chopped Salad - No Dressing,"Fruits and vegetables,Vegetables",4,c,5,a,76.0,"4g 4g 0mcg 0% Omcg 0% Vitamin D 90mg 6% 90mg 6% Calcium 0.9mg 6% 0.8mg 4% Iron 220 4% 200mg 4% Potassi *The % Daily Va food contributes nutrition advice. tells you how much a nutrient in a serving of ly diet. 2,000 calories a day is used for general GREDIENTS: SALAD (GREEN CABBAGE, ROMAINE LETTUCE, CARROTS, COTIJA CHEESE [COTIJA CHEESE {PASTEURIZED MILK, CHEESE CULTURE, SALT, MICROBIAL ENZYME}, POTATO STARCH {ANTI-CAKING AGENT}], RADISH, DRY ROASTED PEPITAS [PUMPKIN SEEDS], GREEN ONION, TORTILLA STRIPS [STONE GROUND YELLOW CORN, STONE GROUND BLUE CORN, SUNFLOWER OIL, SEA SALT, TRACE OF LIME], CILANTRO), SOUTHWEST AVOCADO DRESSING (SOYBEAN OIL, WATER, AVOCADO, WHITE WINE VINEGAR, VINEGAR, SALT, CILANTRO, CORNSTARCH, POBLANO CHILES, CANE SUGAR, DISTILLED CUMIN, DRIED ONION, XANTHAN GUM, DRIED GARLIC, ACACIA GUM, DRIED CHIPOTLE PEPPERS, RED PEPPER). CONTAINS MILK. BY: OST&"
Popcorn Au Beurre,,4,e,21,b,73.0,"100% whole grain popping corn, Palm oil, Salt, Natural butter flavour, Annatto. Contains: Milk. KIDS SAFETY: While popcom is a delicious d for"
Jus d'orange avec pulpe,"Beverages,Unsweetened beverages",1,c,5,d,43.0,100% Orange juice
Orange Juice Lots Of Pulp,"Beverages,Unsweetened beverages",1,c,5,d,43.0,100% jus d'orange
100% Pure Canola Oil,"Fats and sauces,Fats",2,b,1,c,59.0,100% Canola Oil
Just Peanuts Crunchy Peanut Butter,"Cereals and potatoes,Legumes",1,b,-3,c,49.0,100% roasted peanuts
Pure Press,"Beverages,Unsweetened beverages",1,c,6,f,-7.0,100% pineapple juice
"Pure Orange Juice, (not from concentrate)","Beverages,Unsweetened beverages",1,c,4,d,43.0,100% PURE ORANGE JUICE.
"Only Peanuts, Smooth","Fats and sauces,Fats",2,a,-7,d,36.0,100% (select) roasted peanuts
Juste des arachides - croquant,"Salty snacks,Nuts",1,a,-7,d,40.0,100% ARACHIDES CHOISIES CONTIENT : ARACHIDES.
"3.25% Cow’s Milk, homogenized.","Milk and dairy products,Milk and yogurt",1,b,2,e,17.0,"3.5% M.F. Homogenized Cow’s Milk, Vitamin D3."
Mimi macarons,"Sugary snacks,Biscuits and cakes",4,e,20,d,31.0,129 aron Suitable 203 nut 48 allergy 1.29 . Ground Almonds (21%) Sugar. Water Cream (Milk) Raspberries (4%) Dried Egg White Unsalted Butter (Milk) Potato Starch Cocoa Mass Glucose-Fructose Syrup Cocoa Powder. 0.39 Colour: Beetroot Red Raspberry Purée. 7.9g Malted Barley flour (contains Gluten). 5.0g Glucose Syrup Sugar Syrup Gelling Agent: Pectin (from Fruits) Acidity Regulator: . 0.4g Citric Acid • Caramel Emulsifier: Soya 2g • 029 Lecithin Flavourings. Unite M&S PO B Rave Dub mar C C
Pure Green Tea,"Beverages,Unsweetened beverages",1,b,0,a,80.0,100% Green Tea
Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil.
Waldfrucht-Konfitüre Extra,"Sugary snacks,Sweets",4,d,16,b,73.0,"50% Früchtemischung (20% Brombeeren, 15% Schwarze Johannis - beeren, 15% Himbeeren), Glukose-Sirup, Zucker, Geliermittel: Pektin, Säuerungsmittel: Citronensäure"
Extra virgin olive oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil
All natural extra virgin olive oil,"Fats and sauces,Fats",2,b,0,d,40.0,100% extra virgin olive oil
Organic Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil - organic.
Jelly belly flaming,"Sugary snacks,Sweets",4,e,20,a,77.0,"100g (cz) složení cukrovinky: cukr, glukózový g sirup. modifikovaný kukuřičný škrob, ovocné a rostlinné koncentráty (jablko, mrkev, dýně, spirulina, černý rybíz, ibišek), p pyré jalapeño, sül, aromata, pyré carolina reaper, regulátory ha za kyselosti (e330, e325, e260), pyré cayenne, pyré habanero, leštidla (e901, e903, e904), barviva (e100i). skladujte v chladu a gr suchu. (de) gelebohnen zutaten: zucker, glukosesirup. modifizierte maisstärke, frucht - und pflanzenkonzentrate (apfel, d karotte, kürbis, spirulina, schwarze johannisbeere, hibiskus). /t jalapeño-püree, salz, aromen, carolina reaper-püree, tra säureregulatoren (e330, e325, e260), cayennepfeffer-püree, e habanero-püree, überzugsmittel (e901, e903, e904), farbstoffe sta (e100i). kühl und trocken lagern. (fr) bonbons sn ingrédients : sucre, sirop de glucose, amidon de mais modifié, concentrés de fruits et de légumes (pomme, carotte, citrouille, spiruline, cassis, hibiscus), purée de piment jalapeño. ve sel de table, arômes, purée de piment carolina reaper, régulateurs en d'acidité (e330, e325, e260), purée de poivre de cayenne, purée tu de piment habanero, agents d'enrobage (e901, e903. e904). colorant (e100i). a conserver au frais et au sec. (nl) snoepingredienten: suiker, glucosestroop, gemodificeerd sac a maiszetmeel, concentraten uit vruchten en groenten (appel. wortel, pompoen, spirulina, zwarte bes, hibiscus), jalapeñopuree. cl zout, aroma's, carolina reaper-puree, zuurteregelaars (e330. e325, e260), cayennepuree, habaneropuree, glansmiddelen bilko (e901, e903, e904), kleurstoff (e100i). op een koele en droge sul plaats bewaren. (sk) cukrovinky zloženie: cukor."
Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil
Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil
Animal crackers original,"Salty snacks,Appetizers",4,c,3,b,67.0,"9300mg 300g 25g less than 2,400mg 2,400mng solesterol odium total carbohydrate dietary fiber calories per gram: fat 9 3750 prote carbohydrate 4 ngredients: enriched flour (wheat flour niacin, reduced iron, thiamine mononitrate vitamin b1], riboflavin [vitamin b2), folic cid), sugar, soybean oil, high fructose drn syrup, salt, baking soda (leavening dy lecithin (an emulsifier), natural lavor, spice. ontains: wheat and soy ade in a bakery that uses peanuts and tree nuts. stauffer biscuit company york, pa 17403 www.stauffers.com made in u.s.a. prs91011a"
Smooth Multigrain,"Cereals and potatoes,Bread",4,d,12,b,71.0,"310 pu slight la.. color m ingredients.nriched wheat flour (flour, malted barley flour, reduced iron, niacin, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid), water, sugar, vegetable oil (soybean), wheat gluten, yeast, oats, triticale, whole wheat, sea salt, rye, barley, millet, buckwheat, contains 0.5% or less of each of the following: brown rice, cultured wheat flour, molasses, natural flavors, soy lecithin, malt extract (barley), grain vinegar, citric acid. r21-216-202458 contains wheat, soy. made in a bakery that may also use milk, tree nuts. bimbo bakeries usa, inc. horsham, pa 19044 smartlabel www.saraleebread.com all rights reserved. sara lee is a registered trademark of sara lee tm holdings llc used under license. shree sli fb. twa 回类口 scan here for more"
"Star, extra virgin olive oil","Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil
Fine foods special reserve olive oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% organic extra virgin olive oil.
California Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil
California Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil
Lazy Weekend Ground Coffee,,1,b,-2,e,15.0,100% café arabica
100% koura olive oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil
100% Juice,"Beverages,Unsweetened beverages",4,e,14,e,21.0,"100% fruit juice from apple juice, cranberry juice, aronia berry juice, grape juice, black cherry juice (filtered water, fruit juice concentrates), citric acid, natural flavors, ascorbic acid (vitamin c)."
100% Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil
100% Extra Virgin Olive Oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil.
Olive oil,"Fats and sauces,Fats",2,b,0,e,27.0,100% extra virgin olive oil.
